,Book Name,Author,Rating,Number of Reviews,Price,Description,hours,minutes,Genres Extracted
118,The Story of My Experiments with Truth: An Autobiography,M. K. Gandhi,4.5,409,1093,"To mark the 150th anniversary of Gandhi's birth, DK presents the audiobook of The Story of My Experiments with Truth: An Autobiography, narrated by Sagar Arya.",20,27,"['Historical Biographies', 'Indian History', 'Asian History']"
119,Who Will Cry When You Die? (Hindi): Life Lessons from the Monk Who Sold His Ferrari,Robin Sharma,4.4,217,668,"""When you were born, you cried while the world rejoiced. Live your life in such a way that when you die, the world cries while you rejoice."" (Ancient Sanskrit saying)",5,9,"['Personal Success', 'Personal Development & Self-Help']"
120,Hooked: How to Build Habit-Forming Products,Nir Eyal,4.6,1754,501,"Note to Audible Listeners: As of December 2019, this version of the Hooked audiobook has been revised and rerecorded to greatly improve audio quality. Please disregard any reviews mentioning poor audio quality prior to December 2019.",4,40,"['Consumer Behaviour', 'Business Careers', 'Design & Fashion']"
121,Azadi: Freedom. Fascism. Fiction.,Arundhati Roy,3,50,888,Brought to you by Penguin.,6,14,"['Fascism', 'Communism & Socialism', 'Political Structure & Processes']"
123,48 Laws of Power,Robert Greene,4.4,2097,820,"Amoral, cunning, ruthless, and instructive, this piercing work distills 3,000 years of the history of power into 48 well-explicated laws. This bold volume outlines the laws of power in their unvarnished essence, synthesizing the philosophies of Machiavelli, Sun Tzu, Carl von Clausewitz, and other infamous strategists. The 48 Laws of Power will fascinate any listener interested in gaining, observing, or defending against ultimate control.",23,6,"['Ethics & Morality Philosophy', 'Political Science History & Theory', 'Political Theory']"
124,Alibaba: The House That Jack Ma Built,Duncan Clark,4.3,592,13345,An engrossing insider's account of how a teacher built one of the world's most valuable companies - rivaling Walmart and Amazon - and forever reshaped the global economy.,9,9,"['E-Commerce', 'Biographies of Business Leaders', 'Internet & Social Media']"
125,The Compound Effect: Multiply Your Success One Simple Step at a Time,Darren Hardy,4.7,3936,608,"The Compound Effect contains the essence of what every super achiever needs to know, practice, and master to obtain extraordinary success. Inside you will hear strategies on:",4,44,"['Mentoring & Coaching', 'Leadership', 'Business Management']"
126,Asura: Tale of the Vanquished: The Story of Ravana and His People,Anand Neelakantan,4.2,1039,1003,The epic tale of victory and defeat,18,17,"['Hinduism', 'Hinduism']"
127,Do Kadam Aur Sahi [Two Steps and Right],Rahat Indori,4.6,98,501,"Do Kadam Aur Sahi is an excellent compilation of selected poems by the renowned Urdu poet Rahat Indoori. The compiler, Sachin Chaudhary, has named the collection as ‘selected pearls of the ocean’. The magic that flows from the pen of Rahat Indauri gives a different feeling.",3,34,"['Poetry', 'Asian Literature', 'Poetry']"
128,The Forty Rules of Love,Elif Shafak,4.6,2343,752,"Penguin presents the audiobook edition of The Forty Rules of Love by Elif Shafak, read by George Blagden.",11,55,"['Historical Fiction', ""Women's Fiction"", 'World Literature']"
129,Good to Great: Why Some Companies Make the Leap...And Others Don't,Jim Collins,4.6,2411,15817,"Built to Last, the defining management study of the '90s, showed how great companies triumph over time and how long-term sustained performance can be engineered into the DNA of an enterprise from the very beginning.",10,1,"['Business Management', 'Analysis & Strategy', 'Textbooks & Study Guides']"
130,Satya Ke Sath Mere Prayog [My Experiment with Truth]: Meri Atmakatha [My Autobiography],M. K. Gandhi,4.2,154,1171,"What I want to achieve - what I have been striving and pining to achieve these 30 years - is self-realization, to see God face to face, to attain moksha.",22,54,"['Biographies of Activists', 'Biographies & Autobiographies']"
131,Peppa Pig: Bedtime Stories,Ladybird,4.7,64,342,Brought to you by Ladybird.,1,7,"['Animal Fiction for Children', 'Animals for Children', 'Early Learning Audiobooks for Children']"
132,A Clash of Kings: Book 2 of A Song of Ice and Fire,George R. R. Martin,4.6,6888,18149,"The complete, unabridged audiobook of A Clash of Kings.",37,12,"['Military Fantasy', 'Dragon & Mythical Creatures Fantasy', 'Epic Fantasy']"
133,The Mahabharata Secret,Christopher C. Doyle,4,985,836,244 BC,10,17,"['Contemporary Fantasy', 'Epic Fantasy', 'Fantasy']"
134,"Girl, Woman, Other",Bernardine Evaristo,4.5,2019,888,Brought to you by Penguin.,11,7,"['African American Literature', 'Coming of Age Fiction', ""Women's Fiction""]"
135,Measure What Matters: OKRs: The Simple Idea That Drives 10x Growth,John Doerr,4.5,1332,888,Brought to you by Penguin.,7,56,"['Corporate Finance', 'Econometrics & Statistics', 'Time Management & Productivity']"
136,Essentialism: The Disciplined Pursuit of Less,Greg McKeown,4.6,2973,888,Brought to you by Penguin.,6,14,"['Business & Careers', 'Analysis & Strategy']"
137,How to Stop Worrying and Start Living,Dale Carnegie,4.5,5012,668,Learn how to break the worry habit - now and forever!,9,42,"['Personal Success', 'Personal Development & Self-Help']"
138,Maybe You Should Talk to Someone,Lori Gottlieb,4.7,3484,1328,"Ever wonder what your therapist is really thinking? Now you can find out...a hilarious, thought-provoking and surprising new book that takes us behind the scenes of a therapist's world.",14,22,"['Social Scientist & Psychologist Biographies', 'Mental Health', 'Humour']"
139,Flow: Living at the Peak of Your Abilities,Mihaly Csikszentmihalyi Ph.D.,4.489294063,,1439,"In flow, everyday experience becomes a moment by moment opportunity for joy and self-fulfillment. Flow is the brain-child of a fascinating psychologist, Mihaly Csikszentmihalyi, a renowned social scientist who has devoted his life's work to the study of what makes people truly happy, satisfied and fulfilled. While much of the study of psychology investigates disorders of the human mind, Dr. Csikszentmihalyi takes a different route. He focuses on the noble side of human nature, our capacity for living a life of integrity, courage, and perseverance. With his landmark research on flow, he reveals what he considers beautiful in life, ways of being and behaving that make people happy, satisfied and delighted to be alive. His insights into the ""flow experience"" show ways to lessen stress, fear and anxiety while increasing feelings of challenge, joy and excitement. The revolutionary findings of Mihaly Csikszentmihalyi's Experience Sampling Method offer unprecedented information about the specific ways we can turn life into a continuous high quality experience. You'll discover how anyone can enrich his or her quality of life simply by learning how flow occurs and what it feels like. You'll learn about the key elements of the flow experience including:",5,31,"['Creativity & Genius', 'Personal Success', 'Personal Development & Self-Help']"
140,Fire and Blood: 300 Years Before A Game of Thrones (A Targaryen History) (A Song of Ice and Fire),George R.R. Martin,4.4,3724,18149,"Set 300 years before A Game of Thrones, an even greater game began, one that set the skies alight with dragon flame and saw the Seven Kingdoms turned to ash.",26,24,"['Action & Adventure Fantasy', 'Historical Fantasy', 'Military Fantasy']"
141,"The 5 Second Rule: Transform your Life, Work, and Confidence with Everyday Courage",Mel Robbins,4.4,2311,668,How to enrich your life and destroy doubt in five seconds.,5,20,"['Family Life Fiction', 'Family Life Fiction for Children', 'City Life Fiction']"
142,What Every BODY Is Saying: An Ex-FBI Agent’s Guide to Speed-Reading People,Joe Navarro,4.5,3373,10378,He says that's his best offer. Is it?,7,19,"['Business Sales', 'Communication & Social Skills', 'Business Careers']"
143,The Fountainhead,Ayn Rand,4.2,816,1054,"By completing your purchase you agree to Audible’s Conditions of Use, Amazon's Privacy Notice and if applicable Audible's Recurring Payment Terms.",32,2,"['Crime', 'Classic Fiction', 'Contemporary Fiction']"
144,Indistractable: How to Control Your Attention and Choose Your Life,Nir Eyal,4.6,663,1003,"""Indistractable provides a framework that will deliver the focus you need to get results."" (James Clear, author of Atomic Habits)",5,15,"['Workplace Culture', 'Personal Success in Business', 'Business & Economics']"
145,No-Drama Discipline: The Whole-Brain Way to Calm the Chaos and Nurture Your Child's Developing Mind,Daniel J. Siegel,4.7,1758,879,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",5,20,"['Cooking', 'Plays']"
146,"Untamed: Stop Pleasing, Start Living",Glennon Doyle,4.7,5217,888,Brought to you by Penguin.,8,22,"['Women Biographies', 'Personal Success', 'Biographies & Autobiographies']"
147,When Breath Becomes Air,Paul Kalanithi,4.6,11485,615,"Tackling the agonizing transition from skilled surgeon to bewildered patient, When Breath Becomes Air is an unflinching account of what it means to be betrayed by the body you devoted your life to understanding.",5,35,"['Sociology of Death & Dying', 'Grief & Loss', 'Cancer']"
148,Who Will Cry When You Die?,Robin Sharma,4.5,5417,469,"""When you were born, you cried while the world rejoiced. Live your life in such a way that when you die, the world cries while you rejoice."" (Ancient Sanskrit saying)",2,30,['Words']
149,Caste: The Lies That Divide Us,Isabel Wilkerson,4.8,923,888,Brought to you by Penguin.,14,26,"['Social Classes & Economic Disparity', 'Fascism', 'Racism & Discrimination Studies']"
150,Kyon Se Shuruwat Karein [Start with Why]: Mahaan Leaders Logon Ko Aage Badhne Ke Liye Prerit Kaise Karte Hain [How Great Leaders Inspire People to Move Forward],Simon Sinek,4.489294063,,836,"Why are some people and organizations more inventive, pioneering and successful than others? And why are they able to repeat their success again and again?",10,52,"['Personal Success', 'Personal Development & Self-Help']"
151,Lok Vyavhar,Dale Carnegie,4.5,1412,668,"Dale Carnegie teaches how you can make people like you, win people over to your way of thinking and change people without causing offense or arousing resentment. He also emphasizes fundamental techniques for handling people without making them feel manipulated. Carnegie illustrates his points with anecdotes of historical figures leaders of the business world and everyday folks.",9,48,"['Personal Success', 'Personal Development & Self-Help']"
152,The Obesity Code: Unlocking the Secrets of Weight Loss,Jason Fung,4.7,7534,690,"Oops! It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time. Go to the Amazon.in home page to continue shopping",5,20,['Plays']
